Time,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 4:27:00 PM,-208.7021,-0.0345778242,-0.4326377,3.003121,1.72127914,1.69635594,330.118622,318.800079,8.32586,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63328612,0.7354516,2.08509135,1.20341241,39.2118,271.667572
3/9/2023 4:27:00 PM,-208.7021,-0.03422394,-0.432533979,2.99856973,1.71452749,1.78246856,330.566345,309.823151,10.4999037,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63275981,0.7353401,2.085225,1.269884,38.8795242,271.620575
3/9/2023 4:27:00 PM,-208.7021,-0.0330302529,-0.432838321,2.98336935,1.74537861,1.86609089,329.0697,303.855377,10.6687508,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63249207,0.7353641,2.08502555,1.00235581,38.83722,271.865479
3/9/2023 4:27:00 PM,-208.7021,-0.03324013,-0.432444841,2.94414663,1.75852108,1.92041707,328.7741,296.700684,12.6737385,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.6336298,0.735329866,2.08512044,1.13848472,39.43816,271.8358
3/9/2023 4:27:00 PM,-208.7021,-0.03229309,-0.4330339,2.87852025,1.73653042,1.98148751,330.152954,291.899719,11.877099,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.6330024,0.7352611,2.08522558,1.43262959,38.9382439,271.460144
3/9/2023 4:27:00 PM,-208.7021,-0.03153938,-0.432233185,2.79421473,1.71372151,2.03295732,333.674164,287.724426,10.9114256,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63285887,0.735284,2.08520412,1.19250059,39.1246338,271.803162
3/9/2023 4:27:01 PM,-208.702118,-0.0339520052,-0.4331721,2.706347,1.692251,2.07694936,339.081146,283.133545,4.777051,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63309693,0.7351678,2.085252,1.29029429,39.277462,271.786041
3/9/2023 4:27:01 PM,-208.7021,-0.03273467,-0.43352738,2.62321424,1.67718744,2.11245131,342.514343,282.2087,0.323626459,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63336706,0.735168636,2.08523178,1.30589151,39.25534,271.72467
3/9/2023 4:27:01 PM,-208.702118,-0.0334088653,-0.4323547,2.57015753,1.68614268,2.12500429,340.600037,281.811981,0.158287555,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63336575,0.7350232,2.08528066,1.53981245,38.9788246,271.4424
3/9/2023 4:27:01 PM,-208.7021,-0.0313303322,-0.432096452,2.502463,1.69979024,2.12127614,340.3773,276.962646,4.09219933,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63351214,0.735122,2.08529854,1.41259038,39.2661819,271.618652
